gene,cell_type,mean_expr,mean_other,log2_fold_change,p_value,cohens_d,significant
Gene_0,microglia,0.375,0.1797752808988764,1.0606958583539359,0.15471715620943033,0.44680100209430157,False
Gene_1,microglia,0.125,0.21348314606741572,-0.7721941254167719,0.36559510481035695,-0.23763688954022907,False
Gene_2,microglia,0.1875,0.16853932584269662,0.15380526344717813,0.8628959825631258,0.049581822775307934,False
Gene_3,microglia,0.1875,0.23595505617977527,-0.3316215340787307,0.6653220442172028,-0.1188166481918304,False
Gene_4,microglia,0.25,0.21348314606741572,0.22780586226358443,0.7641249495251485,0.0866252889109573,False
Gene_5,microglia,0.0625,0.15730337078651685,-1.3316215464948595,0.2080481406752674,-0.3066538903884695,False
Gene_6,microglia,0.1875,0.2247191011235955,-0.2612322101090084,0.73878426479213,-0.0921078419640552,False
Gene_7,microglia,0.1875,0.2247191011235955,-0.2612322101090084,0.73878426479213,-0.0921078419640552,False
Gene_8,microglia,0.0625,0.1797752808988764,-1.5242666077857647,0.127080407989956,-0.3653720294479661,False
Gene_9,microglia,0.3125,0.1797752808988764,0.7976614539034,0.30742020582149393,0.3118406435567555,False
Gene_10,microglia,0.375,0.14606741573033707,1.3602561203968297,0.09667405261721616,0.5402699828354308,False
Gene_11,microglia,0.125,0.15730337078651685,-0.3316215646501236,0.7338683590908907,-0.09287832381259076,False
Gene_12,microglia,0.125,0.19101123595505617,-0.61172946376759,0.49468153777100005,-0.18172404303006592,False
Gene_13,microglia,0.1875,0.2247191011235955,-0.2612322101090084,0.73878426479213,-0.0921078419640552,False
Gene_14,microglia,0.3125,0.1348314606741573,1.212698924357388,0.17273020705656295,0.43640185501856016,False
Gene_15,microglia,0.25,0.15730337078651685,0.6683784262722441,0.44324203039273785,0.23172020495335638,False
Gene_16,microglia,0.125,0.2247191011235955,-0.8461947021848008,0.3107188437559298,-0.2648157073352616,False
Gene_17,microglia,0.125,0.14606741573033707,-0.22470636908535296,0.8235527741738189,-0.061577112193135976,False
Gene_18,microglia,0.25,0.10112359550561797,1.3058082926932038,0.21727747908538692,0.3990323584823018,False
Gene_19,microglia,0.0625,0.23595505617977527,-1.9165839984893593,0.03133178240767309,-0.501900357196336,True
Gene_20,microglia,0.25,0.20224719101123595,0.30580836986207355,0.6942953682040428,0.11434014801800688,False
Gene_21,microglia,0.125,0.14606741573033707,-0.22470636908535296,0.8235527741738189,-0.061577112193135976,False
Gene_22,microglia,0.1875,0.19101123595505617,-0.026766970394993223,0.9746464504588006,-0.008963920846342475,False
Gene_23,microglia,0.1875,0.14606741573033707,0.3602561260163164,0.7043284141156377,0.11131609848058979,False
Gene_24,microglia,0.25,0.1797752808988764,0.47573336109092523,0.5621782972817049,0.1715975346031736,False
Gene_25,microglia,0.3125,0.1348314606741573,1.212698924357388,0.17273020705656295,0.43640185501856016,False
Gene_26,microglia,0.1875,0.1348314606741573,0.4757333343409566,0.6286515863775896,0.14361295316737652,False
Gene_27,microglia,0.125,0.14606741573033707,-0.22470636908535296,0.8235527741738189,-0.061577112193135976,False
Gene_28,microglia,0.25,0.16853932584269662,0.5688427594840104,0.500866144003106,0.20126517445326622,False
Gene_29,microglia,0.125,0.19101123595505617,-0.61172946376759,0.49468153777100005,-0.18172404303006592,False
Gene_30,microglia,0.25,0.1348314606741573,0.8907708310261911,0.34010871085479916,0.2953272780442557,False
Gene_31,microglia,0.3125,0.15730337078651685,0.99030651934408,0.23299665927612093,0.37237510916189176,False
Gene_32,microglia,0.0625,0.10112359550561797,-0.6941916897999333,0.5877542975815091,-0.14127315553531009,False
Gene_33,microglia,0.1875,0.21348314606741572,-0.1872316329087114,0.8152863715817897,-0.06493231908146108,False
Gene_34,microglia,0.3125,0.2247191011235955,0.47573337714090647,0.4999199674957521,0.19902351821544734,False
Gene_35,microglia,0.25,0.16853932584269662,0.5688427594840104,0.500866144003106,0.20126517445326622,False
Gene_36,microglia,0.1875,0.19101123595505617,-0.026766970394993223,0.9746464504588006,-0.008963920846342475,False
Gene_37,microglia,0.25,0.21348314606741572,0.22780586226358443,0.7641249495251485,0.0866252889109573,False
Gene_38,microglia,0.125,0.24719101123595505,-0.9836982175047697,0.21952941240399984,-0.31790912084407746,False
Gene_39,microglia,0.25,0.12359550561797752,1.0163017027343866,0.294897745689621,0.32867297762714437,False
Gene_40,microglia,0.25,0.16853932584269662,0.5688427594840104,0.500866144003106,0.20126517445326625,False
Gene_41,microglia,0.1875,0.19101123595505617,-0.026766970394993223,0.9746464504588006,-0.008963920846342475,False
Gene_42,microglia,0.0625,0.20224719101123595,-1.694191595124203,0.07460676369653073,-0.4214139636467654,False
Gene_43,microglia,0.25,0.2247191011235955,0.15380528484715336,0.8357161711382004,0.059445774820163944,False
Gene_44,microglia,0.1875,0.16853932584269662,0.15380526344717813,0.8628959825631258,0.049581822775307934,False
Gene_45,microglia,0.1875,0.15730337078651685,0.2533409300192776,0.7826866410477036,0.08000647347358955,False
Gene_46,microglia,0.25,0.14606741573033707,0.7752936224854169,0.389591386247404,0.26304388438592363,False
Gene_47,microglia,0.125,0.23595505617977527,-0.9165840257222547,0.2621250674898071,-0.29155559499553757,False
Gene_48,microglia,0.0625,0.1797752808988764,-1.5242666077857647,0.127080407989956,-0.3653720294479661,False
Gene_49,microglia,0.125,0.24719101123595505,-0.9836982175047697,0.21952941240399984,-0.31790912084407746,False
Gene_50,microglia,0.1875,0.19101123595505617,-0.026766970394993223,0.9746464504588006,-0.008963920846342475,False
Gene_51,microglia,0.0625,0.23595505617977527,-1.9165839984893593,0.03133178240767309,-0.501900357196336,True
Gene_52,microglia,0.125,0.20224719101123595,-0.6941916184666851,0.426914106675604,-0.20996113649351442,False
Gene_53,microglia,0.3125,0.12359550561797752,1.3382297961952636,0.14753734511628136,0.4699440980577416,False
Gene_54,microglia,0.25,0.15730337078651685,0.6683784262722441,0.44324203039273785,0.23172020495335638,False
Gene_55,microglia,0.1875,0.20224719101123595,-0.10922912552635619,0.8941597963245533,-0.03723711557083004,False
Gene_56,microglia,0.0625,0.23595505617977527,-1.9165839984893593,0.03133178240767309,-0.501900357196336,True
Gene_57,microglia,0.375,0.1797752808988764,1.0606958583539359,0.15471715620943033,0.4468010020943015,False
Gene_58,microglia,0.3125,0.1348314606741573,1.212698924357388,0.17273020705656295,0.43640185501856016,False
Gene_59,microglia,0.125,0.19101123595505617,-0.61172946376759,0.49468153777100005,-0.18172404303006592,False
Gene_60,microglia,0.0,0.21348314606741572,-26.575424759098897,4.556795421539891e-06,-0.7367883976130071,True
Gene_61,microglia,0.375,0.1797752808988764,1.0606958583539359,0.15471715620943033,0.44680100209430157,False
Gene_62,microglia,0.25,0.20224719101123595,0.30580836986207355,0.6942953682040428,0.11434014801800688,False
Gene_63,microglia,0.4375,0.14606741573033707,1.582648540930494,0.04278167255839382,0.6768124265570112,True
Gene_64,microglia,0.0625,0.1348314606741573,-1.109229145631326,0.3263921700594305,-0.24435349941939152,False
Gene_65,microglia,0.25,0.19101123595505617,0.3882705252095709,0.6268056842397642,0.14264441414865256,False
Gene_66,microglia,0.1875,0.2247191011235955,-0.2612322101090084,0.73878426479213,-0.0921078419640552,False
Gene_67,microglia,0.0,0.15730337078651685,-26.575424759098897,0.00010883322621424321,-0.6110100926607787,True
Gene_68,microglia,0.125,0.12359550561797752,0.016301709866812026,0.9880095594130593,0.004257073216338622,False
Gene_69,microglia,0.25,0.2247191011235955,0.15380528484715336,0.8357161711382004,0.059445774820163944,False
Gene_70,microglia,0.3125,0.19101123595505617,0.7101986178923653,0.35014045782384984,0.2826965328097542,False
Gene_71,microglia,0.125,0.24719101123595505,-0.9836982175047697,0.21952941240399984,-0.31790912084407746,False
Gene_72,microglia,0.375,0.15730337078651685,1.2533409239675228,0.11357396744897927,0.5082445294147021,False
Gene_73,microglia,0.25,0.1797752808988764,0.47573336109092523,0.5621782972817049,0.1715975346031736,False
Gene_74,microglia,0.125,0.12359550561797752,0.016301709866812026,0.9880095594130593,0.004257073216338622,False
Gene_75,microglia,0.0625,0.1348314606741573,-1.109229145631326,0.3263921700594305,-0.24435349941939152,False
Gene_76,microglia,0.25,0.21348314606741572,0.22780586226358443,0.7641249495251485,0.0866252889109573,False
Gene_77,microglia,0.25,0.2247191011235955,0.15380528484715336,0.8357161711382004,0.05944577482016395,False
Gene_78,microglia,0.125,0.14606741573033707,-0.22470636908535296,0.8235527741738189,-0.061577112193135976,False
Gene_79,microglia,0.1875,0.11235955056179775,0.738767717045703,0.4882656241441398,0.2116512167928988,False
Gene_80,microglia,0.1875,0.14606741573033707,0.3602561260163164,0.7043284141156377,0.11131609848058979,False
Gene_81,microglia,0.375,0.1797752808988764,1.0606958583539359,0.15471715620943033,0.44680100209430157,False
Gene_82,microglia,0.125,0.23595505617977527,-0.9165840257222547,0.2621250674898071,-0.29155559499553757,False
Gene_83,microglia,0.1875,0.2247191011235955,-0.2612322101090084,0.73878426479213,-0.0921078419640552,False
Gene_84,microglia,0.1875,0.1797752808988764,0.06069586527022698,0.9440813063759237,0.019951794677969825,False
Gene_85,microglia,0.25,0.15730337078651685,0.6683784262722441,0.44324203039273785,0.23172020495335638,False
